City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
80,Srednekolymsk,RU,67.45,153.6833,-33.18,98,14,2.57,few clouds
81,Saint-Augustin,CA,51.226,-58.6502,27.88,82,98,16.17,overcast clouds
82,Kavieng,PG,-2.5744,150.7967,84.43,73,86,12.71,light rain
83,Fortuna,US,40.5982,-124.1573,42.66,97,0,8.05,clear sky
84,Cabo San Lucas,MX,22.8909,-109.9124,72.7,79,14,4.32,few clouds
85,Chapais,CA,49.7834,-74.8492,20.98,94,99,7.2,overcast clouds
86,Hutang,CN,31.5333,119.4833,62.02,32,1,4.68,clear sky
87,Rusape,ZW,-18.5278,32.1284,59.68,96,100,5.12,light rain
88,Kahului,US,20.8947,-156.47,77.02,74,40,8.05,scattered clouds
89,Zaraza,VE,9.3503,-65.3245,72.86,95,69,4.25,broken clouds
90,Loa Janan,ID,-0.583,117.095,76.87,97,100,2.37,moderate rain
91,Faanui,PF,-16.4833,-151.75,78.91,78,87,3.6,overcast clouds
92,Mar Del Plata,AR,-38.0023,-57.5575,60.1,96,100,14.97,overcast clouds
93,Tapiramuta,BR,-11.8472,-40.7914,66.96,93,52,5.5,broken clouds
94,Airai,TL,-8.9266,125.4092,76.68,55,70,1.99,broken clouds
95,Williston,US,48.147,-103.618,9.34,100,92,4.23,overcast clouds
96,Montrose,US,38.4166,-108.2673,19.51,67,0,1.25,clear sky
97,Saldanha,ZA,-33.0117,17.9442,51.85,80,13,5.46,few clouds
98,Basco,PH,20.4487,121.9702,79.52,76,18,19.37,few clouds
99,Ormara,PK,25.2088,64.6357,80.65,63,0,7.94,clear sky
100,Sabha,LY,27.0377,14.4283,56.89,48,3,5.21,clear sky
101,Sisimiut,GL,66.9395,-53.6735,20.75,91,100,10.38,light snow
102,Paralimni,CY,35.0375,33.9833,62.15,65,0,7.0,clear sky
103,Dahanu,IN,19.9667,72.7333,82.94,47,7,2.84,clear sky
104,Pacific Grove,US,36.6177,-121.9166,49.68,84,0,3.44,clear sky
105,Gizo,SB,-8.103,156.8419,85.32,67,43,9.08,light rain
106,Panguna,PG,-6.3164,155.4848,78.76,66,82,1.72,broken clouds
107,Cabra,ES,37.4725,-4.4421,58.51,79,100,4.65,overcast clouds
108,Caconda,AO,-13.7333,15.0667,62.55,62,98,0.29,overcast clouds
109,Biltine,TD,14.5333,20.9167,69.15,24,67,10.02,broken clouds
110,Okhotsk,RU,59.3833,143.3,13.98,88,100,6.85,overcast clouds
111,Buraydah,SA,26.326,43.975,63.05,27,39,10.83,scattered clouds
112,Dera Bugti,PK,29.0307,69.151,69.12,33,0,1.36,clear sky
113,Ribeira Grande,PT,38.5167,-28.7,60.78,86,62,5.99,broken clouds
114,Narsaq,GL,60.9167,-46.05,26.31,84,100,7.7,overcast clouds
115,Kaitangata,NZ,-46.2817,169.8464,63.84,65,91,6.82,moderate rain
