City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
120,Kavaratti,10.5669,72.642,81.82,74,57,7.45,IN,2022-11-08 23:03:26
121,Porbandar,21.6422,69.6093,75.61,71,0,6.87,IN,2022-11-08 23:03:27
122,Vostok,46.4856,135.8833,28.02,68,4,4.9,RU,2022-11-08 23:03:27
123,Qasigiannguit,68.8193,-51.1922,-10.97,84,7,6.08,GL,2022-11-08 23:03:27
124,Linxia,35.6003,103.2064,42.6,76,82,1.16,CN,2022-11-08 23:03:27
125,Jinchang,38.4953,102.1739,38.82,38,4,2.48,CN,2022-11-08 23:03:28
126,Nizwa,22.9333,57.5333,75.69,45,92,2.8,OM,2022-11-08 23:03:29
127,Praia Da Vitoria,38.7333,-27.0667,65.75,87,34,9.57,PT,2022-11-08 23:03:29
128,Atar,20.5169,-13.0499,81.54,16,100,3.4,MR,2022-11-08 23:03:30
129,Yakeshi,49.2833,120.7333,18.25,96,36,5.88,CN,2022-11-08 23:03:30
130,Pisco,-13.7,-76.2167,64.45,77,9,5.75,PE,2022-11-08 23:03:30
131,Bambous Virieux,-20.3428,57.7575,73.22,74,71,9.51,MU,2022-11-08 23:03:31
132,Salalah,17.0151,54.0924,77.09,78,20,2.3,OM,2022-11-08 23:03:02
133,Yumen,40.2833,97.2,35.2,39,2,9.04,CN,2022-11-08 23:03:31
134,Tual,-5.6667,132.75,82.99,78,94,9.17,ID,2022-11-08 23:03:32
135,Mar Del Plata,-38.0023,-57.5575,67.08,84,43,23.0,AR,2022-11-08 23:00:08
136,Itoman,26.1247,127.6694,77.4,83,40,14.97,JP,2022-11-08 23:04:32
137,Panaba,21.2833,-88.2667,79.07,65,1,12.95,MX,2022-11-08 23:04:32
138,Arraial Do Cabo,-22.9661,-42.0278,69.33,90,100,7.7,BR,2022-11-08 23:04:33
139,Banda Aceh,5.5577,95.3222,78.42,80,99,4.65,ID,2022-11-08 23:04:33
140,Akkermanovka,51.2467,58.2391,27.97,94,100,10.54,RU,2022-11-08 23:04:33
141,Tuatapere,-46.1333,167.6833,62.78,60,100,12.17,NZ,2022-11-08 23:04:34
142,Carnarvon,-24.8667,113.6333,67.64,61,1,9.51,AU,2022-11-08 23:04:34
143,Isla Mujeres,21.2311,-86.731,78.85,76,23,14.74,MX,2022-11-08 23:04:34
144,Haines Junction,60.7522,-137.5108,19.99,68,54,0.87,CA,2022-11-08 23:04:35
145,Laguna,38.421,-121.4238,55.18,80,75,14.97,US,2022-11-08 23:04:35
146,Port Blair,11.6667,92.75,79.36,83,67,11.92,IN,2022-11-08 23:04:35
147,Castro,-24.7911,-50.0119,56.48,74,56,2.73,BR,2022-11-08 22:59:39
148,Loandjili,-4.7561,11.8578,77.31,89,100,7.45,CG,2022-11-08 23:04:36
149,El Alto,-4.2714,-81.2147,64.06,85,38,14.34,PE,2022-11-08 23:04:36
150,Fairbanks,64.8378,-147.7164,25.09,86,75,0.0,US,2022-11-08 23:04:01
151,Ilulissat,69.2167,-51.1,-12.3,80,7,7.14,GL,2022-11-08 23:04:36
152,Buala,-8.145,159.5921,81.12,81,100,11.79,SB,2022-11-08 23:04:37
153,Margate,51.3813,1.3862,55.31,85,10,7.0,GB,2022-11-08 23:04:37
154,Ponta Delgada,37.7333,-25.6667,65.12,88,40,8.05,PT,2022-11-08 23:00:26
155,San Isidro,-12.1167,-77.05,70.02,69,20,14.97,PE,2022-11-08 23:04:37
156,Virginia Beach,36.8529,-75.978,58.01,61,20,14.97,US,2022-11-08 23:03:08
157,Rio Gallegos,-51.6226,-69.2181,59.05,36,0,16.11,AR,2022-11-08 23:04:38
158,Kasongo-Lunda,-6.4667,16.8167,69.98,98,100,1.9,CD,2022-11-08 23:04:38
159,Coahuayana,18.7333,-103.6833,82.31,75,23,4.29,MX,2022-11-08 23:04:38
160,Vila Velha,-20.3297,-40.2925,73.94,78,0,5.75,BR,2022-11-08 23:04:39
